Distance,Corr Dist,Corr Dist (Unstretched),Corr Speed,ABS Active,ABS Enabled,AID Allow Tire Blankets,AID Auto Blip,AID Auto Clutch,AID Auto Shift,AID Fuel Rate,AID Ideal Line,AID Mech Damage,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,Drive Train Speed,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,Engine RPM,Flags,Fuel Level,Gear,Ground Speed,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,Lap Time,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,Steering Angle,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,Throttle Pos,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Wind Direction,Wind Speed
m,m,m,km/h,,,,,,,,,%,%,,kg/m3,C,kg,s,s,%,%,C,C,C,C,G,G,G,mm,deg,deg,deg,deg,m,m,m,,,,,,deg,deg,deg,deg/s,deg,deg/s,m/s,m/s,m/s,deg/s,%,,,rad/s,,,MJ,,,,,rpm,,l,,km/h,,,%,kJ,%,MJ,,,s,s,s,s,,l,hp,rpm,mm,mm,mm,mm,N.m,,,,,Hz,mm,mm,mm,mm,C,N.m,N.m,N.m,N.m,,s,deg,%,mm,mm,mm,mm,,,%,,,,,N,N,N,N,mm,mm,mm,mm,psi,psi,psi,psi,mm,mm,mm,mm,%,%,%,%,deg,deg,deg,deg,%,%,%,%,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,deg,deg,deg,deg,,rad/s,rad/s,rad/s,rad/s,deg,km/h


0,0,0,0.5,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999990000,100.00,12,12,12,12,0.000,0.0000,0.000,309.04,-2.8462,-2.995,-1.0521,-1.178,-62.4,231.23,-1.888,0,0,0,0,0.9790,-10.15905,-10.15905,0.013,0.44,0.000,0.00,0.00,0.000,0.1318,-0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.0000,61,0.0000,30,0.000,0.47,0.0000,0,0,0,0,0,0.0000,0,0.000,0.000,0.000,0.000,0.0000,150,968.10656,18800,79.999990000,79.999990000,149.999990000,149.999990000,386,0,0.0000,1,5.0000,20.00,74.78,74.78,58.44,58.44,13,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,100,-2.988,-2.988,-16.24,-16.24,0.0000,1,0.00,0,0.0000,0,0.0000,0,0,0,0,320.000,320.00,320.000,320.000,26.640,26.6400,26.640,26.6400,319.999990000,319.999990000,319.999990000,319.999990000,100.0000,100.00000,100.0000,100.0000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,-0.365,-0.365,0.17139,0.17139,0,56.83,56.84,56.60,56.60,-359,21
1,1,1,13.0,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,0.004,1.0468,0.539,233.25,-2.8042,-2.856,-1.9242,-1.900,-61.7,231.23,-1.963,0,0,0,0,0.9792,-10.15906,-10.15906,-1.169,0.57,0.080,0.15,3.62,0.008,-0.0815,-0.24,45.55,0,0,26.57,0,0,0,0,0,0,0.0000,4575,0.0000,30,1.000,13.03,0.0000,0,0,0,0,0,0.0000,0,1.008,1.008,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,83.33,-36.50,-36.50,12.61,12.61,13,-9.47,9.66,0.03,-0.06,0.0000,-1.00,0.04,100,3.777,3.623,14.09,14.42,0.0000,1,100.00,0,0.0000,0,0.0000,1470,1425,2090,2148,315.867,316.00,313.976,313.815,26.637,26.6374,26.638,26.6382,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.108,-0.082,-0.0026,0.4151,-0.2182,-0.2360,100.00,100.00,79.984,79.984,79.989,79.989,79.901,79.901,80.234,80.239,79.900,79.900,80.211,80.215,79.900,79.900,80.204,80.209,-0.145,-0.156,0.16024,0.16001,0,11.09,11.10,26.47,26.47,-359,21
10,10,10,49.1,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-0.001,1.1276,0.535,232.94,-2.7849,-2.779,-1.9273,-1.926,-53.0,231.25,-1.969,0,0,0,0,0.9827,-10.15906,-10.15906,-1.183,0.43,0.092,-0.01,13.64,0.002,-0.2760,-0.01,100.00,0,0,49.53,0,0,0,0,0,0,0.0000,8347,0.0000,30,1.000,49.10,0.0000,0,0,0,0,0,0.0000,0,2.004,2.004,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,83.33,-36.83,-36.83,11.86,11.86,13,-10.97,11.16,0.48,-0.49,0.0000,-2.00,0.03,100,4.033,4.064,14.83,14.88,1.0000,1,100.00,0,0.0000,0,0.0000,1614,1623,2184,2189,315.432,315.40,313.715,313.697,26.605,26.6054,26.618,26.6188,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.087,-0.080,-0.2005,0.2151,-0.2580,-0.2573,12.74,12.74,79.784,79.784,79.865,79.868,78.745,78.744,80.488,80.526,78.736,78.735,80.362,80.398,78.731,78.731,80.323,80.360,-0.137,-0.142,0.15956,0.15952,0,42.22,42.22,47.75,47.75,-359,21
29,29,29,87.4,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,0.006,0.7727,-0.506,230.74,-2.7665,-2.690,-1.9781,-1.885,-34.2,231.31,-1.987,0,0,0,0,0.9903,-10.15906,-10.15906,-1.091,-0.13,-0.031,0.03,24.28,0.004,-0.4512,-0.10,100.00,0,0,78.61,0,0,0,0,0,0,0.0000,13247,0.0000,30,1.000,87.43,0.0000,0,0,0,0,0,0.0000,0,3.003,3.003,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,66.66,-37.38,-37.38,8.29,8.29,13,-9.37,11.41,-17.31,17.48,0.0000,-3.00,0.03,100,4.855,5.183,17.30,17.95,0.0000,1,100.00,0,0.0000,0,0.0000,1318,1575,2606,2632,315.611,314.92,312.552,312.465,26.563,26.5635,26.604,26.6042,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.072,-0.063,-0.1946,0.2139,-0.1810,-0.1611,3.07,3.06,79.520,79.522,79.774,79.776,77.578,77.581,80.603,80.628,77.550,77.554,80.372,80.395,77.538,77.540,80.300,80.323,-0.112,-0.107,0.15728,0.15671,0,75.27,75.29,78.48,78.48,-359,21
59,59,59,119.3,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-0.004,1.3666,-0.659,229.15,-2.7607,-2.763,-2.0715,-2.076,-4.2,231.43,-1.969,0,0,0,0,0.0024,-10.15906,-10.15906,-1.047,1.33,0.167,-0.27,33.15,0.005,-0.5629,-0.01,100.00,0,0,107.60,0,0,0,0,0,0,0.0000,14413,0.0000,30,2.000,119.35,0.0000,0,0,0,0,0,0.0000,0,4.005,4.005,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-36.36,-36.36,4.43,4.43,13,-8.29,8.31,-16.66,16.92,0.0000,-4.00,0.03,100,5.110,5.125,20.19,20.25,0.0000,1,100.00,0,0.0000,0,0.0000,1189,1167,3350,3312,315.892,315.95,310.453,310.564,26.529,26.5296,26.602,26.6035,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.075,-0.060,-0.1923,0.2141,-0.2787,-0.2809,4.70,4.69,79.309,79.310,79.764,79.772,76.327,76.325,81.171,81.213,76.267,76.265,80.782,80.823,76.240,76.237,80.657,80.699,-0.104,-0.108,0.15534,0.15525,0,102.55,102.54,108.84,108.84,-359,21
98,98,98,155.9,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,0.002,1.6110,-0.506,221.31,-2.7321,-2.726,-2.3179,-2.306,34.9,231.61,-1.999,0,0,0,0,0.0181,-10.15906,-10.15906,-0.897,0.55,0.061,0.09,43.29,0.008,-0.6602,-0.05,100.00,0,0,141.16,0,0,0,0,0,0,0.0000,15239,0.0000,30,3.000,155.87,0.0000,0,0,0,0,0,0.0000,0,5.007,5.007,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,83.33,-40.67,-40.67,-6.09,-6.09,13,-18.56,19.01,-21.60,22.29,0.0000,-5.00,0.03,100,6.853,6.892,28.73,28.87,0.0000,1,100.00,0,0.0000,0,0.0000,2180,2190,4245,4265,312.837,312.81,307.877,307.825,26.493,26.4933,26.619,26.6203,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.029,-0.014,-0.1847,0.2091,-0.2125,-0.2125,5.14,5.14,79.080,79.083,79.867,79.877,75.003,75.007,82.148,82.193,74.894,74.898,81.544,81.587,74.845,74.849,81.340,81.384,-0.050,-0.053,0.14620,0.14603,0,133.78,133.78,140.81,140.81,-359,21
149,149,149,191.1,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,0.009,1.3140,-0.502,215.64,-2.6712,-2.494,-2.7840,-2.640,84.7,231.87,-2.009,0,0,0,0,0.0382,-10.15906,-10.15906,-0.943,2.71,0.171,-1.44,53.09,0.007,-0.6983,-0.25,100.00,0,0,169.29,0,0,0,0,0,0,0.0000,15146,0.0000,30,4.000,191.14,0.0000,0,0,0,0,0,0.0000,0,6.003,6.003,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-44.35,-44.35,-16.70,-16.70,13,-23.71,35.13,-54.27,49.69,0.0000,-6.00,-0.01,100,7.447,9.373,34.72,35.30,0.0000,1,100.00,0,0.0000,0,0.0000,2653,3536,5286,4927,311.478,308.86,305.080,306.005,26.469,26.4695,26.656,26.6585,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.010,0.061,-0.1737,0.2051,-0.1598,-0.1376,3.05,3.02,78.929,78.934,80.103,80.116,73.582,73.598,83.101,83.173,73.398,73.413,82.235,82.305,73.316,73.331,81.922,81.993,-0.035,0.026,0.13773,0.13691,0,164.04,164.10,169.07,169.07,-359,21
